id,model,capacity,original_carrier,unlocked,battery,screen_condition,frame_condition,imei,serial,color,source,known_issues
26,iphone 8,64gb,sprint,true,86,mint,good,46210800447563,50-405-4323,Khaki,Heritage Pharmaceuticals Inc.,
27,iphone 8 plus,64gb,sprint,false,86,mint,mint,88454903721283,50-861-4520,Puce,"SJ Creations, Inc.",
28,iphone xr,256gb,att,true,97,good,good,42972236707815,40-915-0611,Teal,REMEDYREPACK INC.,
29,iphone 8 plus,128gb,sprint,false,85,good,good,5814487271595,18-320-7953,Pink,Reckitt Benckiser Pharmaceuticals Inc,
30,iphone x,256gb,sprint,true,94,fair,fair,82194102683200,31-953-4182,Green,West-ward Pharmaceutical Corp.,
31,iphone xr,128gb,att,false,87,fair,fair,34540651934830,34-336-9212,Orange,Major Pharmaceuticals,3915:c343:d6bd:fe4a:e47:4057:9712:8e50
32,iphone 8,256gb,verizon,true,89,fair,good,90498766368782,09-091-2790,Mauv,Janssen Products LP,
33,iphone 8,64gb,tmobile,false,100,fair,fair,52980718437857,43-052-1962,Blue,"Medical-Technical Gases, Inc.",4d6a:6549:f4de:9c93:f379:da80:2ca6:ef41
34,iphone 8 plus,256gb,tmobile,false,86,good,mint,41257082596697,80-587-1080,Khaki,"Antigen Laboratories, Inc.",
35,iphone 8,64gb,att,true,91,mint,fair,74859919989093,28-589-5552,Maroon,Mylan Pharmaceuticals Inc.,
36,iphone 8 plus,256gb,tmobile,true,93,mint,good,91187548796242,41-915-9992,Khaki,Kroger Company,
37,iphone 8 plus,128gb,tmobile,true,92,mint,mint,43660268350345,33-080-2825,Puce,Amerisource Bergen,
38,iphone xs,64gb,att,true,86,mint,fair,99428856101769,48-139-6908,Puce,"Hospira, Inc.",
39,iphone x,256gb,verizon,true,97,mint,good,97570933423281,88-405-5574,Blue,Cumberland Pharmaceuticals Inc.,
40,iphone 8 plus,128gb,verizon,false,93,fair,mint,10499481086219,60-327-1366,Green,"Paddock Laboratories, Inc.",c94:6079:bde9:aa6b:8585:e8a3:4e7c:490
41,iphone x,64gb,sprint,true,91,mint,fair,90380167083850,87-181-2155,Puce,TOPCO ASSOCIATES LLC,84f4:23e0:ec66:8107:4ccf:7970:3df1:674
42,iphone 8,128gb,verizon,true,93,good,good,16788582902715,42-980-1056,Purple,REMEDYREPACK INC.,
43,iphone xr,256gb,verizon,true,89,good,fair,33787254502348,88-953-8182,Violet,Procter & Gamble Manufacturing Company,
44,iphone 8 plus,128gb,verizon,false,96,fair,fair,16191448294852,68-977-7335,Khaki,"SHISEIDO CO., LTD.",
45,iphone 8 plus,64gb,verizon,true,88,good,good,42587342264799,31-593-6206,Aquamarine,Swiss-American Products,
46,iphone xs,64gb,att,false,96,good,fair,94306159027986,61-339-4072,Khaki,"Lupin Pharmaceuticals, Inc.",
47,iphone xr,128gb,verizon,true,88,mint,fair,2484648863558,40-380-4046,Fuscia,"Shopko Stores Operating Co., LLC",
48,iphone 8 plus,256gb,verizon,true,94,mint,fair,79726220847629,44-704-0911,Crimson,Cardinal Health,
49,iphone 8 plus,128gb,verizon,false,88,mint,good,58661246772201,52-049-6697,Yellow,Mylan Pharmaceuticals Inc.,
50,iphone 8 plus,64gb,verizon,true,91,good,fair,6599661695543,50-275-6151,Mauv,REMEDYREPACK INC.,
51,iphone x,64gb,tmobile,false,88,fair,good,75654740793217,16-184-0213,Aquamarine,Nantong Health & Beyond Hygienic Products Inc.,
52,iphone xr,128gb,sprint,true,85,good,mint,44651084484650,35-567-8526,Orange,"Hospira, Inc.",3dbd:eaec:4f38:8f49:120d:d103:aa13:9977
53,iphone 8,128gb,att,true,94,good,mint,58539171530530,66-754-1614,Khaki,St Marys Medical Park Pharmacy,
54,iphone xs,128gb,tmobile,true,96,good,mint,32837060033403,98-849-6309,Maroon,"Aphena Pharma Solutions - Tennessee, LLC",
55,iphone x,256gb,verizon,true,90,good,mint,31190965517662,92-172-9818,Khaki,QUALITY CHOICE (Chain Drug Marketing Association),
56,iphone x,256gb,sprint,true,88,good,fair,90620375006135,55-547-2582,Violet,Mylan Institutional Inc.,
57,iphone 8 plus,64gb,sprint,false,94,mint,good,73880535265728,89-621-6611,Violet,Ulta,
58,iphone xs,256gb,sprint,false,99,mint,fair,71921675565152,16-379-4567,Turquoise,"Preferred Pharmaceuticals, Inc.",
59,iphone xr,128gb,verizon,true,95,good,fair,93507746079475,40-187-0946,Maroon,CVS Pharmacy,
60,iphone xs,128gb,sprint,false,90,mint,good,39486214773193,37-657-3538,Maroon,"Blenheim Pharmacal, Inc.",844f:adce:5db0:7d2b:7f7e:75b9:7615:9326
61,iphone x,64gb,att,true,94,fair,fair,71162132428490,62-896-5345,Crimson,"Noven Therapeutics, LLC",3105:1457:15e1:b66e:6b27:7630:e987:d576
62,iphone 8,64gb,att,true,99,mint,mint,52225367961456,34-023-9968,Puce,Medicine Shoppe International Inc,
63,iphone 8 plus,256gb,sprint,false,90,mint,mint,28762708471022,12-253-5330,Khaki,"AMI Cosmetic Co.,Ltd.",
64,iphone x,64gb,att,false,98,good,fair,77650996392435,93-673-2464,Turquoise,"Paddock Laboratories, LLC.",
65,iphone x,64gb,sprint,false,99,fair,mint,89092766980972,76-092-1530,Indigo,"ABLE C&C CO., LTD.",
66,iphone x,64gb,att,true,90,mint,good,3424253033923,26-317-1271,Yellow,"Newton Laboratories, Inc.",
67,iphone 8,128gb,sprint,false,85,fair,fair,96172204415349,75-809-3093,Green,"Hospira, Inc.",f9b2:f2f2:7154:8d74:f4fd:16df:66de:9743
68,iphone xs,128gb,verizon,false,100,fair,mint,36926196396807,82-995-1091,Yellow,"Newton Laboratories, Inc.",
69,iphone 8 plus,128gb,sprint,false,95,fair,fair,80688960196772,89-656-1240,Mauv,Cardinal Health,c6ce:11ec:b8fa:1233:8a44:86e3:9721:7a8e
70,iphone 8,64gb,verizon,true,97,fair,fair,7509653020209,95-018-0282,Crimson,Kinray Inc.,
71,iphone xs,128gb,verizon,false,97,good,fair,55833930710174,42-817-3131,Violet,HOMEOLAB USA INC.,
72,iphone xr,64gb,tmobile,false,100,mint,mint,13063280467027,57-024-0622,Teal,"Physicians Total Care, Inc.",
73,iphone 8,128gb,sprint,false,95,good,mint,43542318154074,82-280-1025,Indigo,Jubilant HollisterStier LLC,
74,iphone xr,128gb,tmobile,true,95,fair,good,82738638232729,94-250-4215,Purple,COSTCO WHOLESALE CORPORATION,
75,iphone 8 plus,64gb,att,false,99,good,mint,94907696507419,97-487-1476,Fuscia,CHANEL PARFUMS BEAUTE,
76,iphone xs,64gb,verizon,true,85,good,good,49249503600974,23-052-2649,Goldenrod,Gen-Source Rx,
77,iphone xr,128gb,att,false,89,good,mint,2727138613378,89-148-4075,Yellow,Unifirst First Aid Corporation,
78,iphone x,64gb,sprint,true,93,fair,good,59163508352622,29-092-2272,Khaki,Rebel Distributors Corp,cbbd:b153:81d:35e9:abfc:b5e4:7bf6:3df9
79,iphone xr,64gb,sprint,false,91,fair,good,88274461832880,66-695-9928,Maroon,TEVA Pharmaceuticals USA Inc.,
80,iphone xs,256gb,att,false,92,mint,fair,81663073641953,14-566-4335,Pink,"Bolero Home Decor, Inc.",
81,iphone 8 plus,256gb,att,false,100,mint,fair,12537930436724,08-786-8935,Crimson,"Dolgencorp, LLC",
82,iphone xs,256gb,verizon,false,91,fair,fair,73613738673817,02-258-8649,Khaki,"H.J. Harkins Company, Inc.",
83,iphone xs,64gb,sprint,true,89,good,fair,62108208924454,97-982-7931,Green,Cardinal Health,
84,iphone 8 plus,64gb,verizon,false,89,good,mint,73562143171607,41-437-8037,Fuscia,"AvKARE, Inc.",
85,iphone x,64gb,verizon,false,89,fair,mint,98200914220354,94-562-1756,Goldenrod,McKesson Packaging Services Business Unit of McKesson Corporation,c748:91f0:ac5c:30a2:f83a:bed5:5fe1:9176
86,iphone xs,256gb,verizon,false,97,good,mint,95308225549247,00-272-4469,Turquoise,"Nelco Laboratories, Inc.",
87,iphone xr,128gb,sprint,false,99,good,good,25700656153034,35-516-0180,Yellow,E. FOUGERA & CO. A division of Fougera Pharmaceuticals Inc.,
88,iphone 8,256gb,verizon,false,95,mint,mint,45358282372651,83-061-1116,Crimson,Topco Associates LLC,
89,iphone x,256gb,sprint,true,89,good,mint,92824003831394,46-355-4874,Maroon,H E B,a616:da89:5784:ea94:9ddf:2337:e38:3221
90,iphone 8 plus,256gb,att,false,91,mint,fair,28252832889266,08-653-7786,Maroon,"Dixon Investments, Inc.",
91,iphone xs,64gb,sprint,true,99,fair,good,85813577434199,70-080-5250,Puce,Homeocare Laboratories,
92,iphone xs,128gb,att,true,89,fair,good,10249024258113,37-709-3228,Purple,"Larken Laboratories, Inc.",
93,iphone xr,128gb,tmobile,true,100,fair,fair,3141200158233,75-026-9472,Turquoise,DZA Brands LLC,
94,iphone 8 plus,64gb,sprint,true,93,fair,fair,32538426639928,48-311-6619,Violet,"Neopharm Co., Ltd.",
95,iphone 8,256gb,tmobile,true,94,mint,fair,19313700651946,08-871-7035,Orange,Proficient Rx LP,
96,iphone 8,64gb,att,true,94,fair,mint,36266203497039,85-108-3784,Maroon,A-S Medication Solutions LLC,
97,iphone xr,256gb,verizon,true,94,mint,fair,80541589759324,73-193-7974,Khaki,REMEDYREPACK INC.,
98,iphone x,256gb,att,false,85,mint,fair,13387057525737,87-548-8540,Crimson,A-S Medication Solutions LLC,
99,iphone 8,64gb,verizon,true,98,fair,good,15204569740571,54-481-2113,Purple,Seroyal USA,
100,iphone 8 plus,64gb,att,true,97,fair,mint,61336462340110,32-891-8292,Teal,Kinray Inc,
101,iphone 8,256gb,sprint,false,95,mint,fair,36942444284835,99-044-0225,Yellow,"Lil' Drug Store Products, Inc",
102,iphone 8,128gb,att,true,100,mint,fair,95510183508554,99-113-7832,Teal,"Robinson Pharma, Inc.",
103,iphone xr,256gb,sprint,false,88,good,good,2283208660387,49-251-9497,Pink,"JHP Pharmaceuticals, LLC",
104,iphone 8,256gb,tmobile,false,96,good,mint,97592908680559,02-110-8511,Maroon,New Sun Inc.,
105,iphone xr,128gb,tmobile,false,100,mint,fair,95529512469086,10-610-2871,Pink,Apotex Corp.,
106,iphone xr,128gb,sprint,false,100,mint,fair,49507364749378,08-916-2260,Aquamarine,"Entechbio Co., Ltd",
107,iphone x,128gb,tmobile,false,95,mint,mint,7324200821250,42-150-8961,Pink,G.D. Searle LLC Division of Pfizer Inc,
108,iphone 8 plus,128gb,verizon,true,99,mint,fair,57933048143629,84-071-4415,Puce,AGILA SPECIALTIES PRIVATE LIMITED,
109,iphone 8 plus,256gb,sprint,false,91,fair,fair,75448165946672,38-520-9464,Aquamarine,Conopco Inc. d/b/a Unilever,
110,iphone xr,256gb,verizon,true,89,fair,fair,78744629131781,61-007-3330,Violet,"Teva Parenteral Medicines, Inc.",
111,iphone x,256gb,verizon,true,91,good,good,86147317702880,59-658-8933,Red,HealthLink,
112,iphone 8 plus,128gb,tmobile,false,97,mint,good,23363444879903,19-679-8757,Pink,"Teva Women's Health, Inc.",
113,iphone 8 plus,128gb,att,false,92,fair,mint,9661901634765,93-841-1289,Pink,Mylan Pharmaceuticals Inc.,
114,iphone xs,128gb,tmobile,false,95,fair,mint,18998919398453,89-336-2827,Green,Guna spa,
115,iphone 8,256gb,tmobile,false,91,good,fair,23074245313875,37-433-0088,Turquoise,Jubilant HollisterStier LLC,
116,iphone xs,128gb,verizon,false,95,good,good,48641196891250,13-508-0423,Violet,O.E. Meyer Company,
117,iphone xs,256gb,sprint,true,93,fair,fair,32111673332578,20-822-7523,Purple,Walgreen Company,
118,iphone x,128gb,tmobile,false,86,mint,fair,41583968692390,92-102-4708,Maroon,"Antigen Laboratories, Inc.",
119,iphone xr,64gb,att,true,100,fair,fair,95772974142910,49-997-0336,Pink,Save-A-Lot Food Stores Ltd,
120,iphone 8 plus,256gb,att,true,94,fair,fair,75601803845862,37-349-0882,Turquoise,"PD-Rx Pharmaceuticals, Inc.",
121,iphone x,64gb,tmobile,true,88,good,good,76695960480495,77-075-1105,Yellow,Innovation Specialties,
122,iphone xs,64gb,att,false,99,mint,good,45649159516535,94-503-2471,Teal,REMEDYREPACK INC.,
123,iphone xs,256gb,att,true,86,fair,good,62579521960420,84-034-2466,Green,"Chester Packaging, LLC",
124,iphone 8,256gb,tmobile,true,98,good,fair,54407850412198,32-391-3406,Fuscia,H E B,
125,iphone xs,128gb,att,false,91,fair,mint,29279864299284,55-862-8859,Orange,Novartis Pharmaceuticals Corporation,
126,iphone xs,256gb,tmobile,false,86,fair,fair,93784836513005,97-602-5282,Maroon,Walgreen Company,
127,iphone xs,64gb,verizon,false,98,good,mint,78630661611481,48-672-7692,Pink,Uriel Pharmacy Inc.,
128,iphone 8,256gb,verizon,true,90,fair,fair,24809402880988,84-866-2015,Blue,"Shopko Stores Operating Co., LLC",
129,iphone xs,128gb,sprint,false,88,fair,good,53422464666920,30-827-1181,Orange,YVES ROCHER NORTH AMERICA INC,
130,iphone xs,256gb,sprint,false,99,mint,good,40808255706929,80-418-4841,Aquamarine,"Allergy Laboratories, Inc.",
131,iphone xr,64gb,att,false,88,fair,fair,26222913814600,40-666-4673,Blue,Conopco Inc. d/b/a Unilever,
132,iphone 8,128gb,sprint,false,93,good,mint,94825435443149,48-976-7284,Green,SMART SENSE (Kmart),
133,iphone x,128gb,att,true,86,good,fair,89176033922563,67-334-4927,Crimson,Cardinal Health (Leader),
134,iphone x,128gb,tmobile,true,86,mint,mint,58759306759201,87-982-6420,Crimson,"APP Pharmaceuticals, LLC",46f3:f95c:7de7:c78f:61ef:180:3528:4511
135,iphone x,128gb,sprint,false,95,fair,mint,37645366294283,80-714-1853,Teal,Publix Super Markets Inc,95a7:fb9d:7484:d0de:f8c8:12b9:5415:eae1
136,iphone 8 plus,256gb,sprint,true,96,mint,fair,92106935126499,98-735-6075,Maroon,Sandoz Inc,f640:f106:1fd8:c73e:585a:155a:eae:e9a6
137,iphone 8 plus,64gb,att,true,86,mint,fair,11099082931386,69-916-1161,Khaki,"Deseret Biologicals, Inc.",3bed:a984:508:d8f4:d837:2078:fc12:9134
138,iphone 8,128gb,att,false,96,mint,mint,52808758667486,06-208-5968,Aquamarine,"Preferred Pharmaceuticals, Inc",
139,iphone 8,128gb,verizon,false,95,mint,fair,77682289404104,34-913-6902,Khaki,Chain Drug Consortium,
140,iphone x,256gb,att,false,89,good,good,48635299216554,11-506-9513,Blue,Mylan Institutional Inc.,
141,iphone 8 plus,128gb,sprint,true,85,good,good,49881682853424,75-875-3512,Orange,Teva Pharmaceuticals USA Inc,
142,iphone 8,256gb,tmobile,true,85,fair,good,85243317528592,48-798-8512,Khaki,Kroger Company,
143,iphone xs,128gb,att,false,89,fair,good,81768759882170,91-538-9700,Green,"Nova Homeopathic Therapeutics, Inc.",
144,iphone 8 plus,256gb,sprint,true,97,mint,good,95672883399074,31-790-7177,Crimson,Industrial Gas Distributors Inc,
145,iphone x,64gb,tmobile,false,89,good,good,10940899346895,27-243-2964,Aquamarine,Actavis Elizabeth LLC,
146,iphone 8 plus,256gb,verizon,true,93,mint,good,67092735502958,74-788-1512,Crimson,REMEDYREPACK INC.,
147,iphone x,128gb,tmobile,false,93,mint,fair,71896085061650,88-974-1338,Purple,"Skinfix, Inc.",
148,iphone xs,128gb,sprint,true,88,fair,mint,24154480338728,44-895-1140,Mauv,Bryant Ranch Prepack,
149,iphone xs,64gb,att,false,98,fair,fair,24113176337129,09-746-6823,Purple,SAM'S WEST INC.,
150,iphone 8,256gb,tmobile,false,99,good,mint,40911178248737,83-520-8838,Aquamarine,Wockhardt USA LLC.,a79a:c88d:6220:d6c9:27f2:77f2:c4d8:c90
151,iphone x,256gb,verizon,false,98,good,good,83988668320668,22-492-0992,Purple,Gadal Laboratories Inc,
152,iphone 8 plus,256gb,tmobile,false,85,fair,fair,34603420556786,55-490-6824,Purple,"Cubist Pharmaceuticals, Inc.",
153,iphone x,64gb,att,true,95,mint,mint,34607765315054,93-508-4195,Khaki,STAT RX USA LLC,
154,iphone xr,256gb,tmobile,true,94,mint,mint,16295012359704,34-371-1760,Khaki,Cardinal Health,
155,iphone 8 plus,128gb,verizon,false,95,mint,fair,44735000395065,93-322-4830,Teal,Rebel Distributors Corp,
156,iphone xs,64gb,sprint,true,91,mint,mint,73584058597196,51-306-7210,Maroon,"Amneal Pharmaceuticals of New York, LLC",
157,iphone 8,256gb,verizon,true,96,good,good,69282047159007,06-133-2290,Turquoise,Ventura International LTD.,
158,iphone 8,128gb,att,false,85,fair,good,70172271014390,58-833-2349,Pink,Cardinal Health,
159,iphone x,256gb,sprint,false,98,mint,fair,93720084357979,25-950-4854,Purple,"Solco healthcare U.S., LLC",
160,iphone xs,64gb,att,false,85,fair,mint,24152502896994,47-976-1003,Red,"Jets, Sets, & Elephants Beauty Corp.",
161,iphone 8 plus,256gb,verizon,false,100,mint,good,92755178295099,25-795-8097,Purple,REMEDYREPACK INC.,602a:322a:aa90:6dae:ff8f:c151:7d7f:a807
162,iphone xr,64gb,sprint,true,94,mint,fair,94117867956205,25-561-9720,Red,Rebel Distributors Corp,1507:87b4:86f7:bc13:4f33:1211:b37c:d55c
163,iphone x,128gb,tmobile,true,91,fair,mint,31467725456824,76-737-6438,Teal,Ranbaxy Pharmaceuticals Inc.,35e9:80d2:3efa:4029:f43:a8ab:2f31:c77d
164,iphone x,256gb,att,false,87,good,mint,39967086748567,42-942-6432,Mauv,GlaxoSmithKline LLC,9932:85fc:ccfa:eb4e:1b94:a05f:22ae:42ee
165,iphone x,256gb,att,true,94,fair,mint,39371147091241,43-212-1014,Khaki,Soza Clinic,
166,iphone 8,64gb,sprint,false,87,good,good,21083922619247,54-546-2164,Crimson,Ross Healthcare Inc.,
167,iphone xs,128gb,sprint,false,98,mint,good,89389391515384,99-425-3706,Yellow,"Teva Parenteral Medicines, Inc.",
168,iphone xs,256gb,tmobile,false,89,mint,fair,43326469156785,15-720-9979,Indigo,Good Neighbor Pharmacy,
169,iphone 8,256gb,tmobile,true,85,fair,good,21922723533346,96-502-2830,Teal,CVS Pharmacy Inc,
170,iphone x,64gb,tmobile,false,87,mint,good,79079403807544,22-348-7520,Turquoise,Vanda Pharmaceuticals Inc.,
171,iphone xs,64gb,verizon,true,92,mint,fair,3173039213775,39-833-1209,Mauv,JHP Pharmaceuticals LLC,
172,iphone 8 plus,128gb,verizon,false,93,mint,fair,61768333632187,27-979-7519,Green,Actavis Mid Atlantic LLC,
173,iphone xr,128gb,att,false,95,mint,fair,85541832993789,90-018-5752,Blue,Uriel Pharmacy Inc.,
174,iphone 8 plus,64gb,tmobile,false,87,mint,fair,30103089465202,46-509-2991,Violet,Dr Reddy's Laboratories,
175,iphone 8,128gb,att,true,97,fair,fair,42833992428533,42-389-8117,Pink,Neutrogena Corporation,
176,iphone xs,256gb,verizon,true,87,good,good,85641743784885,44-852-4049,Orange,Uriel Pharmacy Inc.,
177,iphone xr,64gb,att,false,97,good,good,340469737068,32-537-5098,Purple,Heel Inc,
178,iphone 8 plus,64gb,att,false,100,good,good,34733983900959,95-991-8649,Pink,Mylan Institutional Inc.,
179,iphone xr,64gb,verizon,true,99,mint,good,62354590815806,88-517-7390,Purple,REMEDYREPACK INC.,aa72:b8a1:4858:b774:2259:c091:7eda:38e5
180,iphone x,128gb,verizon,true,97,fair,good,90124014851418,32-294-5972,Pink,"Nelco Laboratories, Inc.",
181,iphone 8 plus,128gb,att,false,88,fair,good,61834660631323,71-268-6358,Khaki,Mylan Pharmaceuticals Inc.,
182,iphone xs,256gb,att,true,94,good,good,86447478958572,51-697-5100,Red,Lake Erie Medical DBA Quality Care Products LLC,
183,iphone xr,256gb,sprint,false,85,good,fair,3949367834998,31-111-8070,Crimson,P and L Development of New York Corporation (ReadyInCase),
184,iphone 8,256gb,tmobile,true,97,mint,fair,70158518616080,74-589-4693,Turquoise,SANUM-KEHLBECK GMBH & CO KG,
185,iphone xr,128gb,tmobile,true,98,fair,fair,44065126241251,01-668-5306,Crimson,Supervalu Inc,
186,iphone xs,128gb,verizon,true,85,fair,mint,29030129725483,53-170-3247,Purple,CVS Pharmacy,eab0:27b8:8c43:4a91:c721:84e6:2157:8b2e
187,iphone x,128gb,verizon,true,94,mint,mint,59745523920322,91-456-1629,Puce,King Bio Inc.,
188,iphone x,64gb,sprint,true,88,good,good,2075336055328,85-549-8915,Khaki,Unit Dose Services,3eed:21cf:a1b4:c89a:15c4:5c6:ca29:3f23
189,iphone xr,256gb,tmobile,true,94,mint,fair,28309311106738,06-504-4256,Mauv,"Rising Pharmaceuticals, Inc.",8913:2503:5044:f57:fb54:e935:2b8d:1901
190,iphone xs,128gb,att,true,88,mint,mint,47397828674528,24-519-1649,Green,Bryant Ranch Prepack,
191,iphone x,256gb,verizon,false,97,mint,mint,17440690227515,50-241-8272,Teal,"AMI Cosmetic Co.,Ltd.",
192,iphone 8,128gb,verizon,true,88,fair,good,64063923020103,13-388-5665,Purple,"Nelco Laboratories, Inc.",
193,iphone x,128gb,verizon,false,94,mint,mint,17546519947595,90-468-8510,Maroon,Walgreen Company,
194,iphone x,64gb,tmobile,true,95,fair,mint,18884539978088,73-926-3368,Turquoise,L Perrigo Company,
195,iphone 8,64gb,verizon,false,93,good,mint,10645053909665,53-006-2528,Turquoise,"Health Science Funding, LLC",
196,iphone xr,64gb,verizon,false,87,good,good,67253223333445,92-118-5773,Blue,Rebel Distributors Corp,
197,iphone 8 plus,128gb,tmobile,false,88,good,fair,35879119514587,43-228-1590,Fuscia,"W.S. Badger Company, Inc.",
198,iphone x,256gb,verizon,false,86,fair,good,69709234431220,35-503-3400,Yellow,Rite Aid,
199,iphone 8,256gb,verizon,false,91,good,good,24780004474965,77-971-0249,Purple,PuraVation Pharmaceuticals Inc,
200,iphone 8 plus,256gb,att,false,90,mint,good,51179991491764,21-856-6691,Teal,"Profoot, Inc.",
201,iphone x,128gb,tmobile,true,88,good,fair,51683665862410,89-481-3129,Pink,Health Care Products,
202,iphone 8,128gb,sprint,true,90,mint,mint,20354637754990,97-033-4486,Yellow,"Antigen Laboratories, Inc.",f7a8:17f0:a39:27d1:10d2:330b:e50f:d71a
203,iphone x,64gb,att,true,87,fair,good,64369400878868,82-817-2220,Teal,Aidarex Pharmaceuticals LLC,
204,iphone xr,256gb,tmobile,true,91,good,mint,53442749839087,64-795-4875,Red,Sandoz Inc,
205,iphone x,256gb,verizon,false,90,good,mint,16531942777886,64-576-7259,Violet,"Prime Packaging, Inc.",
206,iphone 8 plus,64gb,att,true,92,fair,good,3880012618491,01-197-8393,Mauv,Apotheca Company,
207,iphone xr,64gb,verizon,true,97,good,mint,57167816717,32-266-7404,Crimson,The Procter & Gamble Manufacturing Company,
208,iphone 8 plus,128gb,sprint,false,92,mint,good,43468436341448,63-253-2801,Orange,State of Florida DOH Central Pharmacy,
209,iphone 8 plus,64gb,att,false,85,good,good,79111012013760,20-038-8781,Khaki,McKesson Packaging Services a business unit of McKesson Corporation,
210,iphone 8,256gb,verizon,false,85,good,good,94704910938684,06-085-0743,Yellow,"NCS HealthCare of KY, Inc dba Vangard Labs",
211,iphone 8 plus,128gb,sprint,false,89,fair,mint,76718959624138,36-163-9423,Goldenrod,Jubilant HollisterStier LLC,
212,iphone xr,256gb,verizon,true,98,good,mint,30190515601783,75-434-5001,Blue,Apotheca Company,
213,iphone xr,128gb,tmobile,false,92,mint,mint,15871498627669,70-531-0219,Indigo,"Dispensing Solutions, Inc.",
214,iphone 8,256gb,tmobile,true,94,good,mint,26512126271606,96-838-4375,Pink,Sagent Pharmaceuticals,
215,iphone xs,128gb,sprint,true,85,good,fair,98722001057621,36-887-0065,Purple,DSHealthcare,ba9a:c6d:bbe3:aba9:db43:bd0a:a914:1d35
216,iphone xr,128gb,att,false,98,good,mint,39404366948848,10-833-5535,Pink,ECI Pharmaceuticals LLC,
217,iphone xr,64gb,att,false,93,mint,fair,7568913081631,96-799-2519,Green,AdvoCare International L.P.,
218,iphone 8 plus,256gb,att,true,94,fair,good,78284002661419,54-165-1956,Teal,KAS Direct LLC dba BabyGanics,
219,iphone 8 plus,256gb,verizon,false,95,good,mint,2025621190553,55-849-7722,Red,Similasan Corporation,
220,iphone xr,64gb,att,false,88,mint,good,63445901828070,41-520-0833,Mauv,"Accra-Pac, Inc.",
221,iphone 8 plus,128gb,att,false,92,good,fair,85013558492447,25-413-1818,Maroon,Ventura International Ltd.,
222,iphone 8 plus,128gb,verizon,true,87,fair,fair,9069460838143,27-708-8472,Blue,Sandoz Canada Inc,
